step 0: train loss 10.7557, val loss 10.7643
iter 105: loss 1.0937, time 671.94ms, mfu 0.02%
iter 106: loss 1.0709, time 689.69ms, mfu 0.02%
iter 107: loss 0.9937, time 686.68ms, mfu 0.02%
iter 108: loss 1.0127, time 654.77ms, mfu 0.02%
iter 109: loss 1.0214, time 660.43ms, mfu 0.02%
iter 110: loss 0.9903, time 671.81ms, mfu 0.02%
iter 111: loss 0.9638, time 660.26ms, mfu 0.02%
iter 112: loss 0.9089, time 671.22ms, mfu 0.02%
iter 113: loss 0.8536, time 727.59ms, mfu 0.02%
iter 114: loss 0.8563, time 723.01ms, mfu 0.02%
iter 115: loss 0.8639, time 706.29ms, mfu 0.02%
iter 116: loss 0.8008, time 729.26ms, mfu 0.02%
iter 117: loss 0.7907, time 692.37ms, mfu 0.02%
iter 118: loss 0.8183, time 701.64ms, mfu 0.02%
iter 119: loss 0.7508, time 701.51ms, mfu 0.02%
iter 120: loss 0.7890, time 694.91ms, mfu 0.02%
iter 121: loss 0.7633, time 661.59ms, mfu 0.02%
iter 122: loss 0.7258, time 667.10ms, mfu 0.02%
iter 123: loss 0.6947, time 691.90ms, mfu 0.02%
iter 124: loss 0.7007, time 687.87ms, mfu 0.02%
iter 125: loss 0.6753, time 673.93ms, mfu 0.02%
iter 126: loss 0.6806, time 685.79ms, mfu 0.02%
iter 127: loss 0.6468, time 675.13ms, mfu 0.02%
iter 128: loss 0.6557, time 674.77ms, mfu 0.02%
iter 129: loss 0.6516, time 677.43ms, mfu 0.02%
iter 130: loss 0.6469, time 711.73ms, mfu 0.02%
iter 131: loss 0.6151, time 705.17ms, mfu 0.02%
iter 132: loss 0.6136, time 688.99ms, mfu 0.02%
iter 133: loss 0.6124, time 678.45ms, mfu 0.02%
iter 134: loss 0.6030, time 678.41ms, mfu 0.02%
iter 135: loss 0.5726, time 665.68ms, mfu 0.02%
iter 136: loss 0.6053, time 719.03ms, mfu 0.02%
iter 137: loss 0.5556, time 742.03ms, mfu 0.02%
iter 138: loss 0.6600, time 675.55ms, mfu 0.02%
iter 139: loss 0.6019, time 681.40ms, mfu 0.02%
iter 140: loss 0.6236, time 668.23ms, mfu 0.02%
iter 141: loss 0.5850, time 706.19ms, mfu 0.02%
iter 142: loss 0.5664, time 726.84ms, mfu 0.02%
iter 143: loss 0.5554, time 715.61ms, mfu 0.02%
iter 144: loss 0.5337, time 679.96ms, mfu 0.02%
iter 145: loss 0.5296, time 690.38ms, mfu 0.02%
iter 146: loss 0.5319, time 671.24ms, mfu 0.02%
iter 147: loss 0.5116, time 679.95ms, mfu 0.02%
iter 148: loss 0.5315, time 671.39ms, mfu 0.02%
iter 149: loss 0.5156, time 675.79ms, mfu 0.02%
iter 150: loss 0.4950, time 747.12ms, mfu 0.02%
iter 151: loss 0.4822, time 731.97ms, mfu 0.02%
iter 152: loss 0.5110, time 896.28ms, mfu 0.02%
iter 153: loss 0.5014, time 721.49ms, mfu 0.02%
iter 154: loss 0.4916, time 713.26ms, mfu 0.02%
iter 155: loss 0.4971, time 711.99ms, mfu 0.02%
iter 156: loss 0.4889, time 727.07ms, mfu 0.02%
