step 0: train loss 10.7547, val loss 10.7566
iter 105: loss 1.2699, time 650.50ms, mfu 0.02%
iter 106: loss 1.2823, time 629.45ms, mfu 0.02%
iter 107: loss 1.2676, time 620.46ms, mfu 0.02%
iter 108: loss 1.2194, time 643.20ms, mfu 0.02%
iter 109: loss 1.1880, time 635.31ms, mfu 0.02%
iter 110: loss 1.2645, time 636.66ms, mfu 0.02%
iter 111: loss 1.2114, time 639.29ms, mfu 0.02%
iter 112: loss 1.1286, time 643.57ms, mfu 0.02%
iter 113: loss 1.1232, time 636.79ms, mfu 0.02%
iter 114: loss 1.0772, time 643.97ms, mfu 0.02%
iter 115: loss 1.1232, time 666.14ms, mfu 0.02%
iter 116: loss 1.1284, time 636.79ms, mfu 0.02%
iter 117: loss 1.0592, time 639.65ms, mfu 0.02%
iter 118: loss 1.0408, time 666.10ms, mfu 0.02%
iter 119: loss 1.0205, time 668.30ms, mfu 0.02%
iter 120: loss 1.0249, time 628.33ms, mfu 0.02%
iter 121: loss 0.9491, time 630.66ms, mfu 0.02%
iter 122: loss 1.0003, time 644.44ms, mfu 0.02%
iter 123: loss 0.9799, time 657.10ms, mfu 0.02%
iter 124: loss 0.9594, time 631.75ms, mfu 0.02%
iter 125: loss 0.9833, time 620.57ms, mfu 0.02%
iter 126: loss 0.9162, time 635.58ms, mfu 0.02%
iter 127: loss 0.9032, time 651.39ms, mfu 0.02%
iter 128: loss 0.9136, time 633.82ms, mfu 0.02%
iter 129: loss 0.9044, time 686.89ms, mfu 0.02%
iter 130: loss 0.9067, time 641.39ms, mfu 0.02%
iter 131: loss 0.9024, time 638.53ms, mfu 0.02%
iter 132: loss 0.8598, time 625.91ms, mfu 0.02%
iter 133: loss 0.9216, time 624.26ms, mfu 0.02%
iter 134: loss 0.8841, time 645.59ms, mfu 0.02%
iter 135: loss 0.8896, time 658.45ms, mfu 0.02%
iter 136: loss 0.8814, time 620.16ms, mfu 0.02%
iter 137: loss 0.8699, time 626.68ms, mfu 0.02%
iter 138: loss 0.8457, time 669.29ms, mfu 0.02%
iter 139: loss 0.8181, time 662.00ms, mfu 0.02%
iter 140: loss 0.7767, time 676.09ms, mfu 0.02%
iter 141: loss 0.8118, time 633.06ms, mfu 0.02%
iter 142: loss 0.7880, time 641.99ms, mfu 0.02%
iter 143: loss 0.8083, time 639.08ms, mfu 0.02%
iter 144: loss 0.7902, time 628.52ms, mfu 0.02%
iter 145: loss 0.7693, time 653.46ms, mfu 0.02%
iter 146: loss 0.7804, time 633.42ms, mfu 0.02%
iter 147: loss 0.7752, time 650.05ms, mfu 0.02%
iter 148: loss 0.7991, time 686.53ms, mfu 0.02%
iter 149: loss 0.7580, time 683.44ms, mfu 0.02%
iter 150: loss 0.7580, time 640.88ms, mfu 0.02%
iter 151: loss 0.7877, time 634.26ms, mfu 0.02%
iter 152: loss 0.7787, time 652.34ms, mfu 0.02%
iter 153: loss 0.7230, time 670.53ms, mfu 0.02%
iter 154: loss 0.8006, time 632.85ms, mfu 0.02%
iter 155: loss 0.7719, time 626.47ms, mfu 0.02%
iter 156: loss 0.7275, time 626.12ms, mfu 0.02%
iter 157: loss 0.7374, time 625.32ms, mfu 0.02%
iter 158: loss 0.6966, time 622.46ms, mfu 0.02%
iter 159: loss 0.7311, time 626.10ms, mfu 0.02%
iter 160: loss 0.6882, time 624.91ms, mfu 0.02%
iter 161: loss 0.7469, time 631.61ms, mfu 0.02%
iter 162: loss 0.7227, time 626.05ms, mfu 0.02%
iter 163: loss 0.6895, time 623.55ms, mfu 0.02%
iter 164: loss 0.7005, time 632.10ms, mfu 0.02%
iter 165: loss 0.7103, time 625.58ms, mfu 0.02%
iter 166: loss 0.7014, time 622.58ms, mfu 0.02%
iter 167: loss 0.6907, time 626.22ms, mfu 0.02%
iter 168: loss 0.6682, time 621.04ms, mfu 0.02%
iter 169: loss 0.6800, time 631.74ms, mfu 0.02%
iter 170: loss 0.6657, time 627.90ms, mfu 0.02%
iter 171: loss 0.6937, time 630.94ms, mfu 0.02%
iter 172: loss 0.6622, time 624.78ms, mfu 0.02%
iter 173: loss 0.6702, time 623.32ms, mfu 0.02%
iter 174: loss 0.6303, time 628.25ms, mfu 0.02%
iter 175: loss 0.6174, time 624.88ms, mfu 0.02%
iter 176: loss 0.6457, time 629.78ms, mfu 0.02%
iter 177: loss 0.6689, time 631.48ms, mfu 0.02%
iter 178: loss 0.6891, time 628.99ms, mfu 0.02%
iter 179: loss 0.6666, time 624.91ms, mfu 0.02%
iter 180: loss 0.6364, time 626.72ms, mfu 0.02%
iter 181: loss 0.6442, time 628.11ms, mfu 0.02%
iter 182: loss 0.6406, time 625.46ms, mfu 0.02%
iter 183: loss 0.6720, time 658.40ms, mfu 0.02%
iter 184: loss 0.7205, time 643.49ms, mfu 0.02%
iter 185: loss 0.6664, time 626.24ms, mfu 0.02%
iter 186: loss 0.6670, time 627.56ms, mfu 0.02%
iter 187: loss 0.6557, time 624.03ms, mfu 0.02%
iter 188: loss 0.6358, time 625.72ms, mfu 0.02%
iter 189: loss 0.6646, time 628.04ms, mfu 0.02%
iter 190: loss 0.6699, time 631.73ms, mfu 0.02%
iter 191: loss 0.6392, time 622.36ms, mfu 0.02%
iter 192: loss 0.6372, time 627.72ms, mfu 0.02%
iter 193: loss 0.6300, time 627.57ms, mfu 0.02%
iter 194: loss 0.5997, time 628.79ms, mfu 0.02%
iter 195: loss 0.5936, time 625.73ms, mfu 0.02%
iter 196: loss 0.6482, time 626.53ms, mfu 0.02%
iter 197: loss 0.6196, time 627.15ms, mfu 0.02%
iter 198: loss 0.6652, time 629.61ms, mfu 0.02%
iter 199: loss 0.6412, time 626.31ms, mfu 0.02%
iter 200: loss 0.5697, time 628.47ms, mfu 0.02%
iter 201: loss 0.6146, time 647.60ms, mfu 0.02%
iter 202: loss 0.6421, time 646.72ms, mfu 0.02%
iter 203: loss 0.6386, time 686.75ms, mfu 0.02%
iter 204: loss 0.6226, time 635.43ms, mfu 0.02%
iter 205: loss 0.6007, time 627.02ms, mfu 0.02%
iter 206: loss 0.6090, time 641.84ms, mfu 0.02%
iter 207: loss 0.6095, time 643.95ms, mfu 0.02%
iter 208: loss 0.6041, time 699.48ms, mfu 0.02%
iter 209: loss 0.6170, time 646.07ms, mfu 0.02%
iter 210: loss 0.6082, time 663.96ms, mfu 0.02%
iter 211: loss 0.6478, time 687.15ms, mfu 0.02%
iter 212: loss 0.5819, time 646.91ms, mfu 0.02%
iter 213: loss 0.6566, time 701.55ms, mfu 0.02%
iter 214: loss 0.5909, time 695.88ms, mfu 0.02%
iter 215: loss 0.6255, time 665.23ms, mfu 0.02%
iter 216: loss 0.6042, time 649.28ms, mfu 0.02%
iter 217: loss 0.6128, time 656.04ms, mfu 0.02%
iter 218: loss 0.5855, time 628.63ms, mfu 0.02%
iter 219: loss 0.5908, time 622.75ms, mfu 0.02%
iter 220: loss 0.5702, time 626.18ms, mfu 0.02%
iter 221: loss 0.5663, time 620.28ms, mfu 0.02%
iter 222: loss 0.6043, time 622.28ms, mfu 0.02%
iter 223: loss 0.6090, time 625.02ms, mfu 0.02%
iter 224: loss 0.5739, time 619.71ms, mfu 0.02%
iter 225: loss 0.5976, time 620.32ms, mfu 0.02%
iter 226: loss 0.5833, time 626.12ms, mfu 0.02%
iter 227: loss 0.5824, time 618.40ms, mfu 0.02%
iter 228: loss 0.5791, time 626.37ms, mfu 0.02%
iter 229: loss 0.5745, time 624.52ms, mfu 0.02%
iter 230: loss 0.5928, time 627.31ms, mfu 0.02%
iter 231: loss 0.5746, time 626.13ms, mfu 0.02%
iter 232: loss 0.5946, time 666.63ms, mfu 0.02%
iter 233: loss 0.6015, time 653.53ms, mfu 0.02%
iter 234: loss 0.5974, time 642.43ms, mfu 0.02%
iter 235: loss 0.5927, time 621.13ms, mfu 0.02%
iter 236: loss 0.5694, time 645.07ms, mfu 0.02%
iter 237: loss 0.5663, time 625.84ms, mfu 0.02%
iter 238: loss 0.5994, time 646.55ms, mfu 0.02%
iter 239: loss 0.5986, time 631.08ms, mfu 0.02%
iter 240: loss 0.6207, time 621.79ms, mfu 0.02%
iter 241: loss 0.5951, time 632.05ms, mfu 0.02%
iter 242: loss 0.5742, time 624.62ms, mfu 0.02%
iter 243: loss 0.6054, time 626.43ms, mfu 0.02%
iter 244: loss 0.5682, time 623.38ms, mfu 0.02%
iter 245: loss 0.5816, time 623.27ms, mfu 0.02%
iter 246: loss 0.5927, time 628.02ms, mfu 0.02%
iter 247: loss 0.5784, time 633.41ms, mfu 0.02%
iter 248: loss 0.5943, time 630.01ms, mfu 0.02%
iter 249: loss 0.5392, time 626.22ms, mfu 0.02%
step 250: train loss 0.5897, val loss 0.7015
saving checkpoint to out-multi_digit_1
iter 250: loss 0.5921, time 9703.53ms, mfu 0.02%
iter 251: loss 0.5681, time 626.34ms, mfu 0.02%
iter 252: loss 0.5993, time 626.87ms, mfu 0.02%
iter 253: loss 0.5707, time 627.63ms, mfu 0.02%
iter 254: loss 0.5810, time 629.12ms, mfu 0.02%
iter 255: loss 0.5580, time 639.69ms, mfu 0.02%
iter 256: loss 0.6097, time 631.68ms, mfu 0.02%
iter 257: loss 0.5963, time 624.61ms, mfu 0.02%
iter 258: loss 0.5723, time 647.50ms, mfu 0.02%
iter 259: loss 0.5892, time 643.80ms, mfu 0.02%
iter 260: loss 0.5850, time 629.08ms, mfu 0.02%
iter 261: loss 0.5944, time 624.13ms, mfu 0.02%
iter 262: loss 0.6423, time 627.29ms, mfu 0.02%
iter 263: loss 0.5862, time 623.16ms, mfu 0.02%
iter 264: loss 0.5536, time 629.46ms, mfu 0.02%
iter 265: loss 0.6258, time 631.72ms, mfu 0.02%
iter 266: loss 0.5748, time 646.86ms, mfu 0.02%
iter 267: loss 0.5808, time 631.90ms, mfu 0.02%
iter 268: loss 0.5839, time 628.50ms, mfu 0.02%
iter 269: loss 0.5624, time 651.41ms, mfu 0.02%
iter 270: loss 0.5787, time 625.80ms, mfu 0.02%
iter 271: loss 0.5687, time 650.70ms, mfu 0.02%
iter 272: loss 0.5700, time 625.45ms, mfu 0.02%
iter 273: loss 0.5803, time 643.44ms, mfu 0.02%
iter 274: loss 0.5504, time 626.15ms, mfu 0.02%
iter 275: loss 0.5538, time 620.38ms, mfu 0.02%
iter 276: loss 0.5563, time 639.87ms, mfu 0.02%
iter 277: loss 0.5677, time 628.35ms, mfu 0.02%
iter 278: loss 0.5362, time 649.78ms, mfu 0.02%
iter 279: loss 0.5613, time 628.36ms, mfu 0.02%
iter 280: loss 0.5706, time 624.55ms, mfu 0.02%
iter 281: loss 0.5745, time 624.30ms, mfu 0.02%
iter 282: loss 0.5512, time 623.84ms, mfu 0.02%
iter 283: loss 0.5650, time 649.86ms, mfu 0.02%
iter 284: loss 0.5710, time 629.46ms, mfu 0.02%
iter 285: loss 0.5755, time 647.64ms, mfu 0.02%
iter 286: loss 0.5667, time 627.79ms, mfu 0.02%
iter 287: loss 0.5607, time 636.67ms, mfu 0.02%
iter 288: loss 0.5561, time 681.92ms, mfu 0.02%
iter 289: loss 0.5630, time 654.13ms, mfu 0.02%
iter 290: loss 0.5687, time 642.80ms, mfu 0.02%
iter 291: loss 0.5471, time 651.01ms, mfu 0.02%
iter 292: loss 0.5558, time 643.43ms, mfu 0.02%
iter 293: loss 0.5735, time 628.62ms, mfu 0.02%
iter 294: loss 0.5551, time 671.97ms, mfu 0.02%
iter 295: loss 0.5543, time 673.74ms, mfu 0.02%
iter 296: loss 0.5656, time 661.49ms, mfu 0.02%
iter 297: loss 0.5605, time 733.16ms, mfu 0.02%
iter 298: loss 0.5613, time 708.49ms, mfu 0.02%
iter 299: loss 0.5903, time 661.67ms, mfu 0.02%
iter 300: loss 0.5775, time 674.83ms, mfu 0.02%
iter 301: loss 0.5359, time 732.32ms, mfu 0.02%
iter 302: loss 0.5816, time 765.75ms, mfu 0.02%
iter 303: loss 0.5426, time 726.70ms, mfu 0.02%
iter 304: loss 0.5513, time 749.78ms, mfu 0.02%
iter 305: loss 0.5579, time 712.77ms, mfu 0.02%
iter 306: loss 0.5894, time 648.71ms, mfu 0.02%
iter 307: loss 0.5426, time 638.92ms, mfu 0.02%
iter 308: loss 0.5556, time 643.76ms, mfu 0.02%
iter 309: loss 0.5650, time 675.20ms, mfu 0.02%
iter 310: loss 0.5634, time 632.18ms, mfu 0.02%
iter 311: loss 0.5674, time 633.04ms, mfu 0.02%
iter 312: loss 0.5489, time 659.03ms, mfu 0.02%
iter 313: loss 0.5419, time 733.07ms, mfu 0.02%
iter 314: loss 0.5637, time 773.41ms, mfu 0.02%
iter 315: loss 0.5576, time 710.20ms, mfu 0.02%
iter 316: loss 0.5402, time 645.33ms, mfu 0.02%
iter 317: loss 0.5565, time 771.90ms, mfu 0.02%
iter 318: loss 0.5554, time 762.68ms, mfu 0.02%
iter 319: loss 0.5410, time 661.73ms, mfu 0.02%
iter 320: loss 0.5381, time 665.55ms, mfu 0.02%
iter 321: loss 0.5621, time 673.44ms, mfu 0.02%
iter 322: loss 0.5256, time 684.21ms, mfu 0.02%
iter 323: loss 0.5621, time 643.55ms, mfu 0.02%
iter 324: loss 0.5826, time 641.53ms, mfu 0.02%
iter 325: loss 0.5449, time 641.51ms, mfu 0.02%
iter 326: loss 0.5363, time 645.52ms, mfu 0.02%
iter 327: loss 0.5728, time 632.24ms, mfu 0.02%
