
step 0: train loss 10.7700, val loss 10.7748
iter 105: loss 0.9712, time 658.03ms, mfu 0.02%
iter 106: loss 0.9583, time 667.91ms, mfu 0.02%
iter 107: loss 0.9364, time 653.37ms, mfu 0.02%
iter 108: loss 0.9562, time 660.26ms, mfu 0.02%
iter 109: loss 0.9637, time 664.80ms, mfu 0.02%
iter 110: loss 0.8801, time 658.51ms, mfu 0.02%
iter 111: loss 0.9927, time 655.80ms, mfu 0.02%
iter 112: loss 0.9323, time 660.74ms, mfu 0.02%
iter 113: loss 0.9121, time 669.04ms, mfu 0.02%
iter 114: loss 0.8836, time 661.03ms, mfu 0.02%
iter 115: loss 0.8811, time 656.27ms, mfu 0.02%
iter 116: loss 0.8584, time 666.33ms, mfu 0.02%
iter 117: loss 0.8335, time 660.80ms, mfu 0.02%
iter 118: loss 0.8091, time 656.68ms, mfu 0.02%
iter 119: loss 0.7628, time 670.67ms, mfu 0.02%
iter 120: loss 0.7528, time 659.02ms, mfu 0.02%
iter 121: loss 0.7733, time 656.56ms, mfu 0.02%
iter 122: loss 0.7396, time 673.08ms, mfu 0.02%
iter 123: loss 0.7264, time 663.13ms, mfu 0.02%
iter 124: loss 0.7155, time 656.63ms, mfu 0.02%
iter 125: loss 0.6939, time 672.93ms, mfu 0.02%
iter 126: loss 0.6658, time 652.47ms, mfu 0.02%
iter 127: loss 0.6698, time 658.23ms, mfu 0.02%
iter 128: loss 0.6828, time 674.35ms, mfu 0.02%
iter 129: loss 0.6332, time 652.91ms, mfu 0.02%
iter 130: loss 0.6546, time 657.17ms, mfu 0.02%
iter 131: loss 0.6328, time 669.65ms, mfu 0.02%
iter 132: loss 0.6507, time 656.07ms, mfu 0.02%
iter 133: loss 0.6330, time 664.05ms, mfu 0.02%
iter 134: loss 0.7381, time 675.16ms, mfu 0.02%
iter 135: loss 0.7483, time 664.19ms, mfu 0.02%
iter 136: loss 0.6701, time 663.64ms, mfu 0.02%
iter 137: loss 0.6679, time 673.11ms, mfu 0.02%
iter 138: loss 0.6514, time 656.23ms, mfu 0.02%
iter 139: loss 0.6614, time 683.83ms, mfu 0.02%
iter 140: loss 0.5899, time 700.76ms, mfu 0.02%
iter 141: loss 0.6625, time 667.95ms, mfu 0.02%
iter 142: loss 0.6232, time 707.46ms, mfu 0.02%
iter 143: loss 0.5772, time 698.46ms, mfu 0.02%
iter 144: loss 0.5771, time 672.24ms, mfu 0.02%
iter 145: loss 0.5810, time 664.63ms, mfu 0.02%
iter 146: loss 0.5775, time 674.32ms, mfu 0.02%
iter 147: loss 0.5635, time 667.56ms, mfu 0.02%
iter 148: loss 0.5801, time 656.94ms, mfu 0.02%
iter 149: loss 0.5402, time 674.05ms, mfu 0.02%
iter 150: loss 0.5495, time 658.08ms, mfu 0.02%
iter 151: loss 0.5670, time 659.61ms, mfu 0.02%
iter 152: loss 0.5470, time 664.87ms, mfu 0.02%
iter 153: loss 0.5386, time 657.69ms, mfu 0.02%
iter 154: loss 0.5267, time 661.57ms, mfu 0.02%
iter 155: loss 0.5308, time 674.07ms, mfu 0.02%
iter 156: loss 0.4931, time 660.22ms, mfu 0.02%
iter 157: loss 0.5223, time 665.62ms, mfu 0.02%
iter 158: loss 0.5094, time 676.66ms, mfu 0.02%
iter 159: loss 0.5286, time 656.47ms, mfu 0.02%
iter 160: loss 0.5086, time 661.92ms, mfu 0.02%
iter 161: loss 0.4929, time 674.20ms, mfu 0.02%
iter 162: loss 0.5210, time 658.44ms, mfu 0.02%
iter 163: loss 0.5015, time 656.01ms, mfu 0.02%
iter 164: loss 0.5074, time 675.47ms, mfu 0.02%
iter 165: loss 0.4916, time 656.00ms, mfu 0.02%
iter 166: loss 0.4964, time 661.10ms, mfu 0.02%
iter 167: loss 0.4610, time 668.30ms, mfu 0.02%
iter 168: loss 0.4724, time 653.40ms, mfu 0.02%
iter 169: loss 0.4862, time 657.68ms, mfu 0.02%
iter 170: loss 0.4841, time 717.12ms, mfu 0.02%
iter 171: loss 0.5123, time 655.89ms, mfu 0.02%
iter 172: loss 0.4843, time 664.39ms, mfu 0.02%
iter 173: loss 0.4923, time 665.70ms, mfu 0.02%
iter 174: loss 0.4948, time 654.63ms, mfu 0.02%
iter 175: loss 0.4707, time 660.89ms, mfu 0.02%
iter 176: loss 0.4753, time 670.32ms, mfu 0.02%
iter 177: loss 0.4783, time 658.02ms, mfu 0.02%
iter 178: loss 0.4577, time 656.76ms, mfu 0.02%
iter 179: loss 0.4642, time 658.33ms, mfu 0.02%
iter 180: loss 0.4575, time 663.62ms, mfu 0.02%
iter 181: loss 0.4724, time 658.25ms, mfu 0.02%
iter 182: loss 0.4644, time 709.70ms, mfu 0.02%
iter 183: loss 0.4580, time 669.55ms, mfu 0.02%
iter 184: loss 0.4697, time 658.28ms, mfu 0.02%
iter 185: loss 0.4871, time 663.94ms, mfu 0.02%
iter 186: loss 0.4598, time 659.77ms, mfu 0.02%
iter 187: loss 0.4350, time 654.52ms, mfu 0.02%
iter 188: loss 0.4583, time 661.09ms, mfu 0.02%
iter 189: loss 0.4581, time 669.82ms, mfu 0.02%
iter 190: loss 0.4673, time 671.82ms, mfu 0.02%
iter 191: loss 0.4750, time 676.11ms, mfu 0.02%
iter 192: loss 0.4719, time 667.94ms, mfu 0.02%
iter 193: loss 0.5005, time 668.09ms, mfu 0.02%
iter 194: loss 0.4681, time 720.74ms, mfu 0.02%
iter 195: loss 0.5210, time 751.44ms, mfu 0.02%
iter 196: loss 0.5015, time 699.49ms, mfu 0.02%
iter 197: loss 0.4432, time 705.57ms, mfu 0.02%
iter 198: loss 0.4750, time 679.54ms, mfu 0.02%
iter 199: loss 0.4777, time 716.06ms, mfu 0.02%
iter 200: loss 0.4640, time 723.91ms, mfu 0.02%
iter 201: loss 0.4712, time 699.16ms, mfu 0.02%
iter 202: loss 0.4529, time 711.26ms, mfu 0.02%
