step 0: train loss 10.7572, val loss 10.7533
iter 105: loss 1.5569, time 1142.22ms, mfu 0.01%
iter 106: loss 1.5207, time 801.52ms, mfu 0.01%
iter 107: loss 1.5430, time 731.38ms, mfu 0.01%
iter 108: loss 1.4943, time 667.22ms, mfu 0.01%
iter 109: loss 1.4744, time 676.47ms, mfu 0.01%
iter 110: loss 1.4411, time 674.82ms, mfu 0.01%
iter 111: loss 1.4422, time 661.98ms, mfu 0.01%
iter 112: loss 1.4301, time 669.60ms, mfu 0.01%
iter 113: loss 1.4496, time 697.97ms, mfu 0.01%
iter 114: loss 1.4129, time 739.75ms, mfu 0.01%
iter 115: loss 1.4114, time 793.54ms, mfu 0.01%
iter 116: loss 1.3969, time 769.61ms, mfu 0.01%
iter 117: loss 1.4374, time 731.31ms, mfu 0.01%
iter 118: loss 1.3679, time 712.92ms, mfu 0.01%
iter 119: loss 1.3302, time 736.91ms, mfu 0.01%
iter 120: loss 1.3358, time 695.24ms, mfu 0.01%
iter 121: loss 1.3233, time 680.42ms, mfu 0.01%
iter 122: loss 1.3271, time 681.56ms, mfu 0.01%
iter 123: loss 1.3079, time 684.68ms, mfu 0.01%
iter 124: loss 1.2939, time 673.17ms, mfu 0.01%
iter 125: loss 1.3152, time 678.16ms, mfu 0.01%
iter 126: loss 1.2823, time 751.76ms, mfu 0.01%
iter 127: loss 1.2720, time 716.37ms, mfu 0.01%
iter 128: loss 1.2470, time 777.44ms, mfu 0.01%
iter 129: loss 1.2617, time 718.85ms, mfu 0.01%
iter 130: loss 1.2812, time 727.21ms, mfu 0.01%
iter 131: loss 1.2612, time 796.67ms, mfu 0.01%
iter 132: loss 1.2902, time 762.88ms, mfu 0.01%
iter 133: loss 1.2708, time 725.47ms, mfu 0.01%
iter 134: loss 1.2771, time 780.46ms, mfu 0.01%
iter 135: loss 1.2357, time 801.03ms, mfu 0.01%
iter 136: loss 1.2423, time 683.69ms, mfu 0.01%
iter 137: loss 1.2177, time 670.07ms, mfu 0.01%
iter 138: loss 1.2365, time 664.84ms, mfu 0.01%
iter 139: loss 1.1853, time 663.21ms, mfu 0.02%
iter 140: loss 1.2332, time 672.80ms, mfu 0.02%
iter 141: loss 1.2058, time 662.02ms, mfu 0.02%
iter 142: loss 1.2064, time 671.88ms, mfu 0.02%
iter 143: loss 1.1971, time 672.07ms, mfu 0.02%
iter 144: loss 1.1573, time 732.63ms, mfu 0.02%
iter 145: loss 1.1680, time 808.38ms, mfu 0.02%
