
step 0: train loss 10.7592, val loss 10.7591
iter 105: loss 1.6580, time 728.79ms, mfu 0.02%
iter 106: loss 1.6119, time 679.30ms, mfu 0.02%
iter 107: loss 1.5555, time 677.57ms, mfu 0.02%
iter 108: loss 1.6000, time 681.59ms, mfu 0.02%
iter 109: loss 1.4413, time 689.14ms, mfu 0.02%
iter 110: loss 1.4774, time 672.76ms, mfu 0.02%
iter 111: loss 1.5550, time 657.90ms, mfu 0.02%
iter 112: loss 1.4789, time 645.62ms, mfu 0.02%
iter 113: loss 1.4854, time 678.15ms, mfu 0.02%
iter 114: loss 1.5250, time 685.66ms, mfu 0.02%
iter 115: loss 1.4545, time 652.32ms, mfu 0.02%
iter 116: loss 1.4728, time 637.21ms, mfu 0.02%
iter 117: loss 1.5231, time 640.13ms, mfu 0.02%
iter 118: loss 1.4524, time 635.80ms, mfu 0.02%
iter 119: loss 1.4131, time 639.98ms, mfu 0.02%
iter 120: loss 1.4566, time 636.50ms, mfu 0.02%
iter 121: loss 1.4745, time 655.28ms, mfu 0.02%
iter 122: loss 1.3935, time 672.19ms, mfu 0.02%
iter 123: loss 1.4074, time 652.63ms, mfu 0.02%
iter 124: loss 1.3919, time 653.56ms, mfu 0.02%
iter 125: loss 1.3952, time 643.95ms, mfu 0.02%
iter 126: loss 1.3646, time 643.68ms, mfu 0.02%
iter 127: loss 1.3493, time 642.20ms, mfu 0.02%
iter 128: loss 1.3257, time 641.86ms, mfu 0.02%
iter 129: loss 1.4014, time 644.88ms, mfu 0.02%
iter 130: loss 1.2921, time 656.07ms, mfu 0.02%
iter 131: loss 1.3801, time 642.93ms, mfu 0.02%
iter 132: loss 1.4415, time 648.29ms, mfu 0.02%
iter 133: loss 1.4054, time 648.12ms, mfu 0.02%
iter 134: loss 1.2755, time 633.16ms, mfu 0.02%
iter 135: loss 1.3172, time 641.22ms, mfu 0.02%
iter 136: loss 1.3484, time 636.66ms, mfu 0.02%
iter 137: loss 1.3392, time 630.72ms, mfu 0.02%
iter 138: loss 1.3532, time 643.39ms, mfu 0.02%
iter 139: loss 1.2935, time 641.92ms, mfu 0.02%
iter 140: loss 1.3140, time 630.26ms, mfu 0.02%
iter 141: loss 1.2627, time 633.91ms, mfu 0.02%
iter 142: loss 1.3092, time 632.60ms, mfu 0.02%
iter 143: loss 1.2258, time 632.77ms, mfu 0.02%
iter 144: loss 1.3412, time 634.83ms, mfu 0.02%
iter 145: loss 1.3149, time 650.24ms, mfu 0.02%
iter 146: loss 1.2842, time 645.51ms, mfu 0.02%
iter 147: loss 1.3120, time 638.15ms, mfu 0.02%
iter 148: loss 1.3317, time 635.39ms, mfu 0.02%
iter 149: loss 1.2778, time 631.46ms, mfu 0.02%
iter 150: loss 1.2288, time 633.81ms, mfu 0.02%
iter 151: loss 1.3052, time 634.76ms, mfu 0.02%
iter 152: loss 1.3057, time 630.47ms, mfu 0.02%
iter 153: loss 1.2076, time 637.16ms, mfu 0.02%
iter 154: loss 1.3407, time 635.08ms, mfu 0.02%
iter 155: loss 1.1994, time 638.31ms, mfu 0.02%
iter 156: loss 1.2512, time 633.94ms, mfu 0.02%
iter 157: loss 1.2155, time 633.82ms, mfu 0.02%
iter 158: loss 1.2575, time 629.31ms, mfu 0.02%
iter 159: loss 1.2359, time 633.86ms, mfu 0.02%
iter 160: loss 1.2322, time 638.94ms, mfu 0.02%
iter 161: loss 1.2316, time 635.48ms, mfu 0.02%
iter 162: loss 1.2348, time 629.29ms, mfu 0.02%
iter 163: loss 1.2591, time 643.19ms, mfu 0.02%
iter 164: loss 1.2817, time 631.52ms, mfu 0.02%
iter 165: loss 1.1478, time 628.96ms, mfu 0.02%
iter 166: loss 1.2395, time 633.47ms, mfu 0.02%
iter 167: loss 1.2284, time 634.99ms, mfu 0.02%
iter 168: loss 1.2291, time 642.06ms, mfu 0.02%
iter 169: loss 1.2534, time 635.43ms, mfu 0.02%
iter 170: loss 1.1658, time 632.87ms, mfu 0.02%
iter 171: loss 1.1271, time 641.48ms, mfu 0.02%
iter 172: loss 1.1571, time 634.90ms, mfu 0.02%
iter 173: loss 1.2093, time 630.12ms, mfu 0.02%
iter 174: loss 1.1829, time 632.67ms, mfu 0.02%
iter 175: loss 1.2598, time 631.72ms, mfu 0.02%
iter 176: loss 1.1829, time 634.64ms, mfu 0.02%
iter 177: loss 1.1192, time 633.10ms, mfu 0.02%
iter 178: loss 1.1525, time 635.67ms, mfu 0.02%
iter 179: loss 1.0860, time 641.06ms, mfu 0.02%
iter 180: loss 1.1098, time 632.08ms, mfu 0.02%
iter 181: loss 1.0686, time 634.55ms, mfu 0.02%
iter 182: loss 1.2456, time 631.50ms, mfu 0.02%
iter 183: loss 1.2114, time 635.62ms, mfu 0.02%
iter 184: loss 1.1860, time 642.68ms, mfu 0.02%
iter 185: loss 1.0907, time 627.09ms, mfu 0.02%
iter 186: loss 1.0554, time 636.45ms, mfu 0.02%
iter 187: loss 1.2923, time 645.16ms, mfu 0.02%
iter 188: loss 1.1225, time 638.12ms, mfu 0.02%
iter 189: loss 1.1844, time 629.83ms, mfu 0.02%
iter 190: loss 1.1410, time 632.46ms, mfu 0.02%
iter 191: loss 1.1643, time 629.38ms, mfu 0.02%
iter 192: loss 1.1935, time 637.87ms, mfu 0.02%
iter 193: loss 1.1417, time 638.83ms, mfu 0.02%
iter 194: loss 1.1007, time 633.58ms, mfu 0.02%
iter 195: loss 1.1382, time 633.19ms, mfu 0.02%
iter 196: loss 1.1726, time 633.01ms, mfu 0.02%
iter 197: loss 1.1787, time 635.04ms, mfu 0.02%
iter 198: loss 1.1242, time 631.35ms, mfu 0.02%
iter 199: loss 1.1230, time 635.52ms, mfu 0.02%
iter 200: loss 1.1159, time 633.04ms, mfu 0.02%
iter 201: loss 1.1483, time 632.95ms, mfu 0.02%
iter 202: loss 1.0918, time 633.27ms, mfu 0.02%
iter 203: loss 1.0695, time 633.30ms, mfu 0.02%
iter 204: loss 1.1388, time 629.65ms, mfu 0.02%
iter 205: loss 1.1797, time 637.33ms, mfu 0.02%
iter 206: loss 1.0948, time 629.82ms, mfu 0.02%
iter 207: loss 1.0491, time 628.99ms, mfu 0.02%
iter 208: loss 1.0223, time 635.91ms, mfu 0.02%
iter 209: loss 1.2604, time 630.42ms, mfu 0.02%
iter 210: loss 1.1615, time 638.94ms, mfu 0.02%
iter 211: loss 1.0961, time 636.59ms, mfu 0.02%
iter 212: loss 1.0253, time 628.07ms, mfu 0.02%
iter 213: loss 1.0956, time 634.33ms, mfu 0.02%
iter 214: loss 1.1776, time 647.37ms, mfu 0.02%
iter 215: loss 1.1239, time 637.72ms, mfu 0.02%
